StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"807","IB2019U8-1","","IB2019U8-1","IB2019U8-1",""
"808","IB2019U8-2","","IB2019U8-2","IB2019U8-2",""
"809","IB2019U16-1","","IB2019U16-1","IB2019U16-1",""
"810","IB2019U15-3","","IB2019U15-3","IB2019U15-3",""
"811","IB2019U8-1с","","IB2019U8-1с","IB2019U8-1с",""
"812","IB2019U8-2с","","IB2019U8-2с","IB2019U8-2с",""
"813","IB2019U8-3с","","IB2019U8-3с","IB2019U8-3с",""
"814","IB2019U8-4с","","IB2019U8-4с","IB2019U8-4с",""
"815","IB2019U8-5с","","IB2019U8-5с","IB2019U8-5с",""
"816","IB2019U9-1с","","IB2019U9-1с","IB2019U9-1с",""
"817","IB2019U10-1с","","IB2019U10-1с","IB2019U10-1с",""
"818","IB2019U12-1с","","IB2019U12-1с","IB2019U12-1с",""
"819","IB2019U13-1с","","IB2019U13-1с","IB2019U13-1с",""
"820","IB2019U14-1с","","IB2019U14-1с","IB2019U14-1с",""
"821","IB2019U15-1с","","IB2019U15-1с","IB2019U15-1с",""
"822","IB2019U15-2с","","IB2019U15-2с","IB2019U15-2с",""
"823","IB2019U16-1с","","IB2019U16-1с","IB2019U16-1с",""
"824","IB2019U16-2с","","IB2019U16-2с","IB2019U16-2с",""
"825","IB2019K182-1","","IB2019К182-1","IB2019К182-1",""
"826","IB2019K190-4","","IB2019К190-4","IB2019К190-4",""
"827","IB2019K198-2","","IB2019К198-2","IB2019К198-2",""
"828","IB2019K201-3","","IB2019К201-3","IB2019К201-3",""
"829","IB2019K201-4","","IB2019К201-4","IB2019К201-4",""
"830","IB2019K203-1","","IB2019К203-1","IB2019К203-1",""
"831","IB2019KF1-1","","IB2019KF1-1","IB2019KF1-1",""
"832","IB2019KF1-2","","IB2019KF1-2","IB2019KF1-2",""
"833","IB2019KF1-3","","IB2019KF1-3","IB2019KF1-3",""
"834","IB2019KF1-4","","IB2019KF1-4","IB2019KF1-4",""
"835","IB2019KF1-5","","IB2019KF1-5","IB2019KF1-5",""
"836","IB2019KF1-6","","IB2019KF1-6","IB2019KF1-6",""
"837","IB2019KF1-7","","IB2019KF1-7","IB2019KF1-7",""
"838","IB2019KF1-8","","IB2019KF1-8","IB2019KF1-8",""
"839","IB2019KF1-9","","IB2019KF1-9","IB2019KF1-9",""
"840","IB2019M7C-2 O2","","IB2019M7C-2","IB2019M7C-2",""
"841","IB2019M10C-1 O2","","IB2019M10C-1 O2","IB2019M10C-1 O2",""
"842","IB2019M4C-1 O2","","IB2019M4C-1 O2","IB2019M4C-1 O2",""
"843","IB2019M1C-10 O2","","IB2019M1C-10 O2","IB2019M1C-10 O2",""
"844","IB2019M5C-3 O2","","IB2019M5C-3 O2","IB2019M5C-3 O2",""
"845","IB2019M10C-22 O2","","IB2019M10C-22 O2","IB2019M10C-22 O2",""
"846","IB2019M2C-1 O2","","IB2019M2C-1 O2","IB2019M2C-1 O2",""
"847","IB2019M4C-4 O2","","IB2019M4C-4 O2","IB2019M4C-4 O2",""
"848","IB2019M10C-21 O2","","IB2019M10C-21 O2","IB2019M10C-21 O2",""
"849","IB2019M9C-2 O2","","IB2019M9C-2 O2","IB2019M9C-2 O2",""
"850","IB2019M9C-4 O2","","IB2019M9C-4 O2","IB2019M9C-4 O2",""
"851","IB2019M2C-3 O2","","IB20192C-3 O2","IB20192C-3 O2",""
"852","IB2019M10C-4 O2","","IB2019M10C-4 O2","IB2019M10C-4 O2",""
"853","IB2019M10C-3 O2","","IB2019M10C-3 O2","IB2019M10C-3 O2",""
"854","IB2019M2C-2 O2","","IB2019M2C-2 O2","IB2019M2C-2 O2",""
"855","IB2019M10C-7 O2","","IB2019M10C-7 O2","IB2019M10C-7 O2",""
"856","IB2019M10C-10 O2","","IB2019M10C-10 O2","IB2019M10C-10 O2",""
"857","IB2019M10C-6 O2","","IB2019M10C-6 O2","IB2019M10C-6 O2",""
"858","IB2019M1C-1 O2","","IB2019M1C-1 O2","IB2019M1C-1 O2",""
"859","IB2019M3C-2 O2","","IB2019M3C-2 O2","IB2019M3C-2 O2",""
"860","IB2019M9C-1 O2","","IB2019M9C-1 O2","IB2019M9C-1 O2",""
"861","IB2019M10C-2 O2","","IB2019M10C-2 O2","IB2019M10C-2 O2",""
"862","IB2019M10C-5 O2","","IB2019M10C-5 O2","IB2019M10C-5 O2",""
"863","IB2019M3C-4 O2","","IB2019M3C-4 O2","IB2019M3C-4 O2",""
"864","IB2019M7C-3 O2","","IB2019M7C-3 O2","IB2019M7C-3 O2",""
"865","IB2019M10C-8 O2","","IB2019M10C-8 O2","IB2019M10C-8 O2",""
"866","IB2019M4C-3 O2","","IB2019M4C-3 O2","IB2019M4C-3 O2",""
"867","IB2019M5C-5 O2","","IB2019M5C-5 O2","IB2019M5C-5 O2",""
"868","IB2019M5C-8 O2","","IB2019M5C-8 O2","IB2019M5C-8 O2",""
"869","IB2019M6C-2 O2","","IB2019M6C-2 O2","IB2019M6C-2 O2",""
"870","IB2019M5C-1 O2","","IB2019M5C-1 O2","IB2019M5C-1 O2",""
"871","IB2019M8C-11 O2","","IB2019M8C-11 O2","IB2019M8C-11 O2",""
"872","IB2019M10C-13 O2","","IB2019M10C-13 O2","IB2019M10C-13 O2",""
"873","IB2019M4C-14 O2","","IB2019M4C-14 O2","IB2019M4C-14 O2",""
"874","IB2019M7C-12 O2","","IB2019M7C-12 O2","IB2019M7C-12 O2",""
"875","IB2019M3C-12 O2","","IB20193C-12 O2","IB20193C-12 O2",""
"876","IB2019M10C-14 O2","","IB2019M10C-14 O2","IB2019M10C-14 O2",""
"877","IB2019M6C-1 O2","","IB2019M6C-1 O2","IB2019M6C-1 O2",""
"878","IB2019KF1-17","","IB2019KF1-17","IB2019KF1-17",""
"879","IB2019KF2-3","","IB2019KF2-3","IB2019KF2-3",""
"880","IB2019KF2-4","","IB2019KF2-4","IB2019KF2-4",""
"881","IB2019KF2-5","","IB2019KF2-5","IB2019KF2-5",""
