StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"550","IB2015P146-1HS","","IB2015P146-1HS","IB2015P146-1HS","-"
"551","IB2015P147-1","","IB2015P147-1","IB2015P147-1","-"
"552","IB2015P147-2","","IB2015P147-2","IB2015P147-2","-"
"553","IB2015P147-3","","IB2015P147-3","IB2015P147-3","-"
"554","IB2015P147-1HS","","IB2015P147-1HS","IB2015P147-1HS","-"
"555","IB2015P148-1","","IB2015P148-1","IB2015P148-1","-"
"556","IB2015P148-3","","IB2015P148-3","IB2015P148-3","-"
"557","IB2015P148-4","","IB2015P148-4","IB2015P148-4","-"
"558","IB2015P149-1HS","","IB2015P149-1HS","IB2015P149-1HS","-"
"559","IB2015P149-2HS","","IB2015P149-2HS","IB2015P149-2HS","-"
"560","IB2015P150-1","","IB2015P150-1","IB2015P150-1","-"
"561","IB2015P150-2","","IB2015P150-2","IB2015P150-2","-"
"562","IB2015P150-3","","IB2015P150-3","IB2015P150-3","-"
"563","IB2015P150-4","","IB2015P150-4","IB2015P150-4","-"
"564","IB2015P151-1","","IB2015P151-1","IB2015P151-1","-"
"565","IB2015P151-3","","IB2015P151-3","IB2015P151-3","-"
"566","IB2015P151-1HS","","IB2015P151-1HS","IB2015P151-1HS","-"
"567","IB2015P155-1","","IB2015P155-1","IB2015P155-1","-"
"568","IB2015P156-1","","IB2015P156-1","IB2015P156-1","-"
"569","IB2015P156-2","","IB2015P156-2","IB2015P156-2","-"
"570","IB2015P157-1","","IB2015P157-1","IB2015P157-1","-"
"571","IB2015P161-1","","IB2015P161-1","IB2015P161-1","-"
"572","IB2015P161-2","","IB2015P161-2","IB2015P161-2","-"
"573","IB2015P166-1","","IB2015P166-1","IB2015P166-1","-"
"574","IB2015P166-2","","IB2015P166-2","IB2015P166-2","-"
"575","IB2015P172-1","","IB2015P172-1","IB2015P172-1","-"
"576","IB2015P175-1","","IB2015P175-1","IB2015P175-1","-"
"577","IB2015P175-2","","IB2015P175-2","IB2015P175-2","-"
"578","IB2015P180-1","","IB2015P180-1","IB2015P180-1","-"
"579","IB2015P180-2","","IB2015P180-2","IB2015P180-2","-"
"580","IB2015P183-1","","IB2015P183-1","IB2015P183-1","-"
"581","IB2015P183-2","","IB2015P183-2","IB2015P183-2","-"
"582","IB2015P184-1","","IB2015P184-1","IB2015P184-1","-"
"583","IB2015P184-2","","IB2015P184-2","IB2015P184-2","-"
"584","IB2015P185-1","","IB2015P185-1","IB2015P185-1","-"
"585","IB2015P185-2","","IB2015P185-2","IB2015P185-2","-"
"586","IB2015P186-1","","IB2015P186-1","IB2015P186-1","-"
"587","IB2015P186-2","","IB2015P186-2","IB2015P186-2","-"
"588","IB2015P186-3","","IB2015P186-3","IB2015P186-3","-"
"589","IB2015P187-1","","IB2015P187-1","IB2015P187-1","-"
"590","IB2015P189-1","","IB2015P189-1","IB2015P189-1","-"
"591","IB2015P189-2","","IB2015P189-2","IB2015P189-2","-"
"592","IB2015P189-3","","IB2015P189-3","IB2015P189-3","-"
"593","IB2015P190-1","","IB2015P190-1","IB2015P190-1","-"
"594","IB2015P190-2","","IB2015P190-2","IB2015P190-2","-"
"595","IB2015P191-1","","IB2015P191-1","IB2015P191-1","-"
"596","IB2015P191-2","","IB2015P191-2","IB2015P191-2","-"
"597","IB2015P192-1","","IB2015P192-1","IB2015P192-1","-"
"598","IB2015P192-2","","IB2015P192-2","IB2015P192-2","-"
"599","IB2015P193-1","","IB2015P193-1","IB2015P193-1","-"
"600","IB2015P193-2","","IB2015P193-2","IB2015P193-2","-"
"601","IB2015P194-1","","IB2015P194-1","IB2015P194-1","-"
"602","IB2015P195-1","","IB2015P195-1","IB2015P195-1","-"
