StorageID,BoxIDValue,CellIDValue
"309","4","H5"
"310","4","H6"
"311","4","H7"
"312","4","H8"
"313","4","H9"
"314","4","I1"
"315","4","I2"
"316","4","I3"
"317","4","I4"
"318","4","I5"
"319","4","I6"
"320","4","I7"
"321","4","I8"
"322","4","I9"
"323","5","A1"
"324","5","A2"
"325","5","A3"
"326","5","A4"
"327","5","A5"
"328","5","A6"
"329","5","A7"
"330","5","A8"
"331","5","A9"
"332","5","B1"
"333","5","B2"
"334","5","B3"
"335","5","B4"
"336","5","B5"
"337","5","B6"
"338","5","B7"
"339","5","B8"
"340","5","B9"
"341","5","C1"
"342","5","C2"
"343","5","C3"
"344","5","C4"
"345","5","C5"
"346","5","C6"
"347","5","C7"
"348","5","C8"
"349","5","C9"
"350","5","D1"
"351","5","D2"
"352","5","D3"
"353","5","D4"
"354","5","D6"
"355","5","D7"
"356","5","D8"
"357","5","D9"
"358","5","E1"
"359","5","E2"
"360","5","E3"
"361","5","E4"
"362","5","E5"
"363","5","E6"
"364","5","E7"
"365","5","E8"
"366","5","E9"
"367","5","F1"
"368","5","F2"
"369","5","F3"
"370","5","F4"
"371","5","F5"
"372","5","F6"
"373","5","F7"
"374","5","F8"
"375","5","F9"
"376","5","G1"
"377","5","G2"
"378","5","G3"
"379","5","G4"
"380","5","G5"
"381","5","G6"
"382","5","G7"
"383","5","G8"
"384","5","G9"
"385","5","H1"
"386","5","H2"
"387","5","H4"
"388","5","H5"
"389","5","H6"
"390","5","H7"
"391","5","H8"
"392","5","H9"
"393","5","I1"
"394","5","I2"
"395","5","I3"
"396","5","I4"
"397","5","I5"
"398","5","I6"
"399","5","I7"
"400","5","I8"
"401","5","I9"
"402","6","A1"
"403","6","A2"
"404","6","A3"
"405","6","A4"
"406","6","A5"
"407","6","A6"
"408","6","A7"
"409","6","A8"
"410","6","A9"
"411","6","B1"
"412","6","B2"
"413","6","B3"
"414","6","B4"
"415","6","B5"
"416","6","B6"
"417","6","B7"
"418","6","B8"
"419","6","B9"
"420","6","C1"
"421","6","C2"
"422","6","C3"
"423","6","C4"
"424","6","C5"
"425","6","C6"
"426","6","C7"
"427","6","C8"
"428","6","C9"
"429","6","D1"
"430","6","D2"
"431","6","D3"
"432","6","D4"
"433","6","D5"
"434","6","D6"
"435","6","D7"
"436","6","D8"
"437","6","D9"
"438","6","E1"
"439","6","E2"
"440","6","E3"
"441","6","E4"
"442","6","E5"
"443","6","E6"
"444","6","E7"
"445","6","E8"
"446","6","E9"
"447","6","F1"
"448","6","F2"
"449","6","F3"
"450","6","F4"
"451","6","F5"
"452","6","F6"
"453","6","F7"
"454","6","F8"
"455","6","F9"
"456","6","G1"
"457","6","G2"
"458","6","G3"
"459","6","G4"
"460","6","G5"
"461","6","G6"
"462","6","G7"
"463","6","G8"
"464","6","G9"
"465","6","H1"
"466","6","H2"
"467","6","H3"
"468","6","H4"
"469","6","H5"
"470","6","H6"
"471","6","H7"
"472","6","H8"
"473","6","H9"
"474","6","I1"
"475","6","I2"
"476","6","I3"
"477","6","I4"
"478","6","I5"
"479","6","I6"
"480","6","I7"
"481","6","I8"
"482","6","I9"
"483","7","A1"
"484","7","A2"
"485","7","A3"
"486","7","A4"
"487","7","A5"
"488","7","A6"
"489","7","A7"
"490","7","A8"
"491","7","A9"
"492","7","B1"
"493","7","B2"
"494","7","B3"
"495","7","B4"
"496","7","B5"
"497","7","B6"
"498","7","B7"
"499","7","B8"
"500","7","B9"
"501","7","C1"
"502","7","C2"
"503","7","C3"
"504","7","C4"
"505","7","C5"
"506","7","C6"
"507","7","C7"
"508","7","C8"
"509","7","C9"
"510","7","D1"
"511","7","D2"
"512","7","D3"
"513","7","D4"
"514","7","D5"
"515","7","D6"
"516","7","D7"
"517","7","D8"
"518","7","D9"
"519","7","E1"
"520","7","E2"
"521","7","E3"
"522","7","E4"
"523","7","E5"
"524","7","E6"
"525","7","H4"
"526","7","E9"
"527","7","F1"
"528","7","F2"
"529","7","F3"
"530","7","F4"
"531","7","F5"
"532","7","F6"
"533","7","F7"
"534","7","F8"
"535","7","F9"
"536","7","G1"
"537","7","G2"
"538","7","G3"
"539","7","G4"
"540","7","G5"
"541","7","G6"
"542","7","G7"
"543","7","G8"
"544","7","G9"
"545","7","H1"
"546","7","H2"
"547","7","H3"
"548","7","H5"
"549","7","H6"
"550","7","H7"
"551","7","H8"
"552","7","H9"
"553","7","I1"
"554","7","I2"
"555","7","I3"
"556","7","I4"
"557","7","I5"
"558","7","I6"
"559","7","I7"
"560","7","I8"
"561","7","I9"
"562","8","A1"
"563","8","A2"
"564","8","A3"
"565","8","A4"
"566","8","A5"
"567","8","A6"
"568","8","A7"
"569","8","A8"
"570","8","A9"
"571","8","B2"
"572","8","B3"
"573","8","B4"
"574","8","B5"
"575","8","B6"
"576","8","B7"
"577","8","B8"
"578","8","B9"
"579","8","C1"
"580","8","C2"
"581","8","C3"
"582","8","C4"
"583","8","C5"
"584","8","C6"
"585","8","C7"
"586","8","C8"
"587","8","C9"
"588","8","D1"
"589","8","D2"
"590","8","D3"
"591","8","D4"
"592","8","D5"
"593","8","D6"
"594","8","D7"
"595","8","D8"
"596","8","D9"
"597","8","E1"
"598","8","E2"
"599","8","E3"
"600","8","E4"
"601","8","E5"
"602","8","E6"
"603","8","E7"
"604","8","E8"
"605","8","E9"
"606","8","F1"
"607","8","F2"
"608","8","F3"
"609","8","F4"
"610","8","F5"
"611","8","F6"
"612","8","F7"
"613","8","F8"
"614","8","F9"
"615","8","G1"
"616","8","G2"
"617","8","G3"
"618","8","G4"
"619","8","G5"
"620","8","G6"
"621","8","G7"
"622","8","G8"
"623","8","G9"
"624","8","H1"
"625","8","H2"
"626","8","H3"
"627","8","H4"
"628","8","H5"
"629","8","H6"
"630","8","H7"
"631","8","H8"
"632","8","H9"
"633","8","I1"
"634","8","I2"
"635","8","I3"
"636","8","I4"
"637","8","I5"
"638","8","I6"
"639","8","I7"
"640","8","I8"
"641","8","I9"
"642","9","A1"
"643","9","A2"
"644","9","A3"
"645","9","A4"
"646","9","A5"
"647","9","A6"
"648","9","A7"
"649","9","A8"
"650","9","A9"
"651","9","B1"
"652","9","B2"
"653","9","B3"
"654","9","B4"
"655","9","B5"
"656","9","B6"
"657","9","B7"
"658","9","B8"
"659","9","B9"
"660","9","C1"
"661","9","C2"
